Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.516 ; 4.085.640.877 ; 17.946 ; 2.065.695.758 ; 20.676 ; 2.613.173.568 ; 23.428 ; 5.305.487.374 ; 68.566 ; 14.069.997.576 ; 1.475 ; 8.094.904.169 ; 1.383 ; 5.498.264.271 ; 2.858 ; 13.593.168.441 ; 71.424 ; 27.663.166.017 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 8.431 ; 2.049.167.521 ; 20.013 ; 1.729.340.880 ; 29.621 ; 2.135.865.041 ; 24.239 ; 2.682.193.203 ; 82.304 ; 8.596.566.646 ; 369 ; 4.255.503.422 ; 408 ; 4.297.288.560 ; 777 ; 8.552.791.982 ; 83.081 ; 17.149.358.628 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.691 ; 832.685.196 ; 6.493 ; 1.403.839.576 ; 7.488 ; 4.909.701.710 ; 9.127 ; 5.312.552.019 ; 24.799 ; 12.458.778.501 ; 181 ; 2.873.808.949 ; 158 ; 1.559.640.305 ; 339 ; 4.433.449.254 ; 25.138 ; 16.892.227.755 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 298 ; 525.575.759 ; 2.077 ; 585.040.935 ; 1.163 ; 4.110.789.915 ; 1.722 ; 3.749.143.048 ; 5.260 ; 8.970.549.657 ; 209 ; 3.224.266.658 ; 192 ; 3.571.415.476 ; 401 ; 6.795.682.135 ; 5.661 ; 15.766.231.792 ;;;;
5;03.532.415;BANCO ABN AMRO S.A.;;; 2 ; 1.902.390 ; 178 ; 2.202.059.485 ; 193 ; 2.235.301.293 ; 373 ; 4.439.263.169 ; 58 ; 5.395.505.613 ; 55 ; 5.348.068.176 ; 113 ; 10.743.573.789 ; 486 ; 15.182.836.958 ;;;;
6;60.746.948;BANCO BRADESCO S.A.; 6.322 ; 2.214.514.204 ; 15.044 ; 1.682.469.172 ; 32.437 ; 1.541.211.247 ; 14.135 ; 2.380.284.083 ; 67.938 ; 7.818.478.707 ; 408 ; 3.057.388.024 ; 400 ; 2.889.986.490 ; 808 ; 5.947.374.513 ; 68.746 ; 13.765.853.220 ;;;;
7;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 192 ; 208.685.374 ; 1.015 ; 328.919.626 ; 718 ; 753.617.600 ; 1.637 ; 1.082.604.115 ; 3.562 ; 2.373.826.716 ; 649 ; 3.071.467.269 ; 637 ; 2.823.016.016 ; 1.286 ; 5.894.483.285 ; 4.848 ; 8.268.310.001 ;;;;
8;00.000.000;BANCO DO BRASIL S.A.; 7.925 ; 2.436.669.251 ; 10.161 ; 1.088.449.308 ; 18.221 ; 566.414.111 ; 13.425 ; 1.398.567.434 ; 49.732 ; 5.490.100.104 ; 251 ; 753.742.321 ; 257 ; 1.445.877.438 ; 508 ; 2.199.619.759 ; 50.240 ; 7.689.719.863 ;;;;
9;49.336.860;ING BANK N.V.; 43 ; 333.097.030 ;;; 11 ; 777.732 ; 45 ; 87.159.600 ; 99 ; 421.034.362 ; 86 ; 3.291.183.407 ; 79 ; 3.210.892.433 ; 165 ; 6.502.075.839 ; 264 ; 6.923.110.202 ;;;;
