Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JULHO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
35;28.195.667;BANCO ABC BRASIL S.A.; 53 ; 25.926.497 ; 102 ; 15.611.566 ; 32 ; 47.783.525 ; 258 ; 228.683.496 ; 445 ; 318.005.084 ; 32 ; 200.136.952 ; 29 ; 99.758.063 ; 61 ; 299.895.015 ; 506 ; 617.900.099 ;;;;
36;78.632.767;BANCO OURINVEST S.A.; 7 ; 3.027.681 ; 29 ; 1.263.666 ; 191 ; 5.181.019 ; 463 ; 7.453.349 ; 690 ; 16.925.715 ; 357 ; 235.201.512 ; 6.579 ; 225.258.731 ; 6.936 ; 460.460.243 ; 7.626 ; 477.385.958 ;;;;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 42 ; 140.552.989 ; 32 ; 2.123.487 ; 33 ; 41.468.200 ; 32 ; 3.929.273 ; 139 ; 188.073.949 ; 32 ; 34.077.715 ; 47 ; 217.003.207 ; 79 ; 251.080.922 ; 218 ; 439.154.871 ;;;;
38;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 892 ; 105.869.526 ; 1.222 ; 80.938.627 ; 397 ; 11.580.291 ; 1.496 ; 71.641.640 ; 4.007 ; 270.030.084 ; 41 ; 87.319.627 ; 27 ; 52.381.974 ; 68 ; 139.701.601 ; 4.075 ; 409.731.685 ;;;;
39;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 3.106.717 ; 134 ; 64.678.478 ; 207 ; 148.623.327 ; 342 ; 216.408.522 ; 18 ; 136.572.870 ; 38 ; 50.300.000 ; 56 ; 186.872.870 ; 398 ; 403.281.392 ;;;;
40;15.114.366;BANCO BBM S/A; 27 ; 24.276.116 ; 4 ; 44.025 ; 11 ; 10.030.940 ; 29 ; 19.723.406 ; 71 ; 54.074.486 ; 7 ; 109.797.573 ; 11 ; 126.803.970 ; 18 ; 236.601.543 ; 89 ; 290.676.029 ;;;;
41;62.144.175;BANCO PINE S.A.; 16 ; 27.656.389 ; 14 ; 4.761.978 ; 7 ; 43.380.795 ; 53 ; 11.655.931 ; 90 ; 87.455.093 ; 4 ; 116.101.628 ; 3 ; 41.107.645 ; 7 ; 157.209.273 ; 97 ; 244.664.366 ;;;;
42;33.923.798;BANCO MÁXIMA S.A.; 39 ; 615.406 ; 237 ; 7.826.920 ; 109 ; 23.348.290 ; 238 ; 14.965.607 ; 623 ; 46.756.224 ; 260 ; 91.595.303 ; 1.538 ; 92.975.419 ; 1.798 ; 184.570.722 ; 2.421 ; 231.326.946 ;;;;
43;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 61 ; 1.070.237 ; 467 ; 10.166.668 ; 769 ; 9.781.204 ; 1.734 ; 50.332.657 ; 3.031 ; 71.350.766 ; 3.268 ; 99.167.216 ; 121 ; 49.388.022 ; 3.389 ; 148.555.238 ; 6.420 ; 219.906.004 ;;;;
44;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 9 ; 25.305.440 ; 24 ; 25.701.003 ; 8 ; 55.583.809 ; 95 ; 36.369.114 ; 136 ; 142.959.366 ; 13 ; 30.434.288 ; 6 ; 21.688.875 ; 19 ; 52.123.162 ; 155 ; 195.082.529 ;;;;
45;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 8 ; 299.148 ; 1.159 ; 68.355.099 ; 177 ; 5.249.682 ; 802 ; 19.626.963 ; 2.146 ; 93.530.893 ; 1.348 ; 82.843.547 ; 28 ; 749.659 ; 1.376 ; 83.593.206 ; 3.522 ; 177.124.099 ;;;;
46;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 1 ; 22.664 ; 952 ; 10.110.018 ; 3.180 ; 59.756.519 ; 4.133 ; 69.889.200 ; 1.936 ; 75.726.757 ; 110 ; 24.505.519 ; 2.046 ; 100.232.276 ; 6.179 ; 170.121.476 ;;;;
47;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 22 ; 50.742.959 ;;; 35 ; 61.018.693 ; 71 ; 48.202.608 ; 128 ; 159.964.260 ; 2 ; 208.467 ;;; 2 ; 208.467 ; 130 ; 160.172.727 ;;;;
