Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.292 ; 2.747.952.906 ; 16.220 ; 2.537.434.550 ; 24.047 ; 3.898.837.030 ; 34.502 ; 4.962.260.591 ; 80.061 ; 14.146.485.077 ; 913 ; 10.592.434.881 ; 938 ; 10.761.470.758 ; 1.851 ; 21.353.905.639 ; 81.912 ; 35.500.390.716 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 8.652 ; 4.029.835.540 ; 29.705 ; 4.618.199.363 ; 34.232 ; 4.701.262.213 ; 37.592 ; 5.690.663.165 ; 110.181 ; 19.039.960.282 ; 532 ; 8.370.266.737 ; 532 ; 6.665.931.196 ; 1.064 ; 15.036.197.933 ; 111.245 ; 34.076.158.215 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.373 ; 1.173.069.509 ; 8.810 ; 1.756.119.111 ; 7.933 ; 8.916.359.886 ; 11.458 ; 8.236.536.394 ; 29.574 ; 20.082.084.901 ; 322 ; 4.542.024.297 ; 331 ; 4.560.022.755 ; 653 ; 9.102.047.053 ; 30.227 ; 29.184.131.954 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 304 ; 417.892.191 ; 2.458 ; 629.667.035 ; 1.514 ; 7.040.180.692 ; 2.309 ; 4.133.071.703 ; 6.585 ; 12.220.811.620 ; 489 ; 5.362.758.544 ; 515 ; 7.205.868.461 ; 1.004 ; 12.568.627.005 ; 7.589 ; 24.789.438.625 ;
5;00.000.000;BANCO DO BRASIL S.A.; 9.103 ; 3.999.178.256 ; 19.031 ; 3.468.360.502 ; 83.802 ; 2.063.787.038 ; 24.288 ; 3.151.313.431 ; 136.224 ; 12.682.639.228 ; 445 ; 2.075.654.756 ; 420 ; 1.476.810.425 ; 865 ; 3.552.465.181 ; 137.089 ; 16.235.104.408 ;
6;60.746.948;BANCO BRADESCO S.A.; 4.487 ; 2.604.820.040 ; 9.758 ; 1.709.904.013 ; 25.884 ; 1.775.737.406 ; 15.477 ; 3.787.671.877 ; 55.606 ; 9.878.133.337 ; 474 ; 3.922.615.910 ; 427 ; 2.267.149.448 ; 901 ; 6.189.765.358 ; 56.507 ; 16.067.898.695 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 474 ; 1.004.877.583 ; 1.230 ; 543.618.347 ; 2.294 ; 2.130.466.767 ; 2.895 ; 1.201.374.013 ; 6.893 ; 4.880.336.709 ; 217 ; 4.227.412.830 ; 396 ; 5.460.138.468 ; 613 ; 9.687.551.298 ; 7.506 ; 14.567.888.008 ;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 141 ; 558.511.162 ; 805 ; 441.144.966 ; 556 ; 2.799.909.162 ; 804 ; 2.678.448.230 ; 2.306 ; 6.478.013.519 ; 171 ; 936.339.770 ; 168 ; 1.191.954.555 ; 339 ; 2.128.294.324 ; 2.645 ; 8.606.307.844 ;
9;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 153 ; 232.878.298 ; 493 ; 255.166.721 ; 133 ; 349.815.802 ; 258 ; 393.809.427 ; 1.037 ; 1.231.670.248 ; 379 ; 3.360.984.446 ; 418 ; 3.538.884.010 ; 797 ; 6.899.868.456 ; 1.834 ; 8.131.538.704 ;
10;00.038.166;BANCO CENTRAL DO BRASIL;;;;;;;;; -   ; -   ; 4 ; 4.056.498.000 ; 4 ; 4.000.000.000 ; 8 ; 8.056.498.000 ; 8 ; 8.056.498.000 ;
11;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 226 ; 646.911.996 ; 1.449 ; 338.830.613 ; 1.567 ; 1.286.391.237 ; 2.065 ; 827.608.285 ; 5.307 ; 3.099.742.132 ; 916 ; 1.372.568.751 ; 935 ; 2.006.264.782 ; 1.851 ; 3.378.833.533 ; 7.158 ; 6.478.575.664 ;
12;60.498.557;BANCO MUFG BRASIL S.A.; 123 ; 20.586.046 ; 374 ; 122.280.330 ; 246 ; 163.196.778 ; 322 ; 89.747.226 ; 1.065 ; 395.810.381 ; 877 ; 2.919.912.335 ; 910 ; 3.060.704.846 ; 1.787 ; 5.980.617.181 ; 2.852 ; 6.376.427.562 ;
13;03.532.415;BANCO ABN AMRO S.A.;;;;; 264 ; 2.495.503.760 ; 297 ; 2.433.604.249 ; 561 ; 4.929.108.009 ; 12 ; 250.000.000 ; 17 ; 405.000.000 ; 29 ; 655.000.000 ; 590 ; 5.584.108.009 ;
