Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
17;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 347 ; 824.297.905 ; 370 ; 702.266.143 ; 717 ; 1.526.564.047 ; 26 ; 561.723.556 ; 17 ; 511.722.180 ; 43 ; 1.073.445.736 ; 760 ; 2.600.009.783 ;
18;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 4 ; 6.309.283 ;;; 4 ; 6.309.283 ;;; 28 ; 2.389.000.000 ; 28 ; 2.389.000.000 ; 32 ; 2.395.309.283 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 105 ; 432.452.844 ; 216 ; 258.308.150 ; 219 ; 143.593.051 ; 406 ; 254.602.014 ; 946 ; 1.088.956.059 ; 107 ; 554.498.700 ; 133 ; 565.230.091 ; 240 ; 1.119.728.791 ; 1.186 ; 2.208.684.849 ;
20;53.518.684;BANCO HSBC S.A.; 8 ; 44.410.786 ; 177 ; 20.242.485 ; 39 ; 135.881.390 ; 155 ; 455.625.333 ; 379 ; 656.159.994 ; 111 ; 940.292.766 ; 125 ; 589.307.838 ; 236 ; 1.529.600.604 ; 615 ; 2.185.760.599 ;
21;28.195.667;BANCO ABC BRASIL S.A.; 133 ; 185.987.511 ; 529 ; 94.021.656 ; 77 ; 49.084.321 ; 354 ; 152.427.600 ; 1.093 ; 481.521.089 ; 201 ; 487.469.805 ; 335 ; 883.568.224 ; 536 ; 1.371.038.028 ; 1.629 ; 1.852.559.117 ;
22;58.616.418;BANCO FIBRA S.A.; 82 ; 150.246.411 ; 528 ; 87.484.760 ; 40 ; 346.203.197 ; 135 ; 353.638.099 ; 785 ; 937.572.468 ; 58 ; 106.103.908 ; 61 ; 161.103.883 ; 119 ; 267.207.792 ; 904 ; 1.204.780.260 ;
23;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 162 ; 33.089.068 ; 696 ; 89.412.181 ; 328 ; 382.821.266 ; 521 ; 318.516.697 ; 1.707 ; 823.839.212 ; 110 ; 201.328.393 ; 111 ; 151.366.747 ; 221 ; 352.695.140 ; 1.928 ; 1.176.534.352 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 98 ; 277.823.831 ; 19 ; 15.664.336 ; 79 ; 107.368.791 ; 254 ; 109.073.392 ; 450 ; 509.930.349 ; 27 ; 141.577.332 ; 35 ; 456.913.761 ; 62 ; 598.491.093 ; 512 ; 1.108.421.443 ;
25;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 83 ; 4.810.339 ; 737 ; 29.405.718 ; 410 ; 129.844.669 ; 77.537 ; 94.712.161 ; 78.767 ; 258.772.887 ; 354 ; 395.903.261 ; 442 ; 405.959.444 ; 796 ; 801.862.705 ; 79.563 ; 1.060.635.592 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 57 ; 3.137.707 ; 215 ; 28.672.317 ; 108.679 ; 390.992.815 ; 2.826 ; 30.675.682 ; 111.777 ; 453.478.521 ; 1.309 ; 103.233.705 ; 6.126 ; 445.663.363 ; 7.435 ; 548.897.068 ; 119.212 ; 1.002.375.590 ;
