Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
66;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 665 ; 33.930.106 ; 587 ; 32.401.159 ; 406 ; 4.098.330 ; 466 ; 13.920.425 ; 2.124 ; 84.350.020 ; 12 ; 14.245.837 ; 7 ; 3.746.344 ; 19 ; 17.992.181 ; 2.143 ; 102.342.201 ;
67;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 7 ; 742.549 ; 25 ; 1.719.755 ; 16 ; 22.685.847 ; 49 ; 9.401.712 ; 97 ; 34.549.863 ; 9 ; 51.320.000 ; 4 ; 13.710.332 ; 13 ; 65.030.332 ; 110 ; 99.580.194 ;
68;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 4.925 ; 36.691.177 ; 9.813 ; 34.370.583 ; 14.738 ; 71.061.760 ; 28 ; 8.280.614 ; 77 ; 10.110.102 ; 105 ; 18.390.716 ; 14.843 ; 89.452.476 ;
69;59.118.133;BANCO LUSO BRASILEIRO S.A.; 57 ; 8.224.984 ; 224 ; 28.871.369 ; 25 ; 2.603.487 ; 182 ; 3.637.031 ; 488 ; 43.336.871 ; 223 ; 32.616.872 ; 80 ; 10.944.651 ; 303 ; 43.561.523 ; 791 ; 86.898.395 ;
70;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 83 ; 1.482.005 ; 848 ; 21.465.778 ; 565 ; 4.670.755 ; 1.245 ; 14.410.550 ; 2.741 ; 42.029.088 ; 1.415 ; 37.158.845 ; 212 ; 7.390.441 ; 1.627 ; 44.549.286 ; 4.368 ; 86.578.374 ;
71;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 2 ; 21.221 ; 83 ; 37.879.097 ; 55 ; 1.183.149 ; 190 ; 3.328.896 ; 330 ; 42.412.362 ; 110 ; 40.756.792 ; 7 ; 727.000 ; 117 ; 41.483.792 ; 447 ; 83.896.154 ;
72;60.889.128;BANCO SOFISA S.A.; 105 ; 24.818.584 ; 75 ; 6.221.420 ; 8 ; 2.864.953 ; 79 ; 4.710.823 ; 267 ; 38.615.781 ; 2 ; 65.178 ; 10 ; 29.565.264 ; 12 ; 29.630.442 ; 279 ; 68.246.222 ;
73;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 7 ; 25.000.000 ; 5 ; 2.263.426 ; 2 ; 7.155 ; 23 ; 2.370.875 ; 37 ; 29.641.456 ; 14 ; 8.428.000 ; 22 ; 28.500.000 ; 36 ; 36.928.000 ; 73 ; 66.569.456 ;
74;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 2 ; 3.456.000 ; 68 ; 9.620.989 ; 53 ; 15.096.527 ; 117 ; 15.419.185 ; 240 ; 43.592.701 ; 66 ; 14.548.989 ; 7 ; 8.043.514 ; 73 ; 22.592.504 ; 313 ; 66.185.204 ;
75;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 23 ; 568.724 ; 628 ; 23.699.500 ; 173 ; 1.926.495 ; 515 ; 6.538.488 ; 1.339 ; 32.733.207 ; 850 ; 29.449.815 ; 118 ; 1.697.247 ; 968 ; 31.147.062 ; 2.307 ; 63.880.269 ;
